verdict	leverage	occurrences	fanin	type	java_class	category	source	note
ACCEPT	79	236	2259	TaskMonitor		open-extension	manual	Caller-supplied progress/cancellation callback -- the textbook open-ended extension point the doc carves out for dyn. Not debt.
STRUCT	65	84	1031	BinaryReader		graph?	promoted	Java declares BinaryReader a class with one subclass (DumpFileReader) -- inheritance for reuse, not polymorphism; port BinaryReader as a concrete type and let DumpFileReader embed it
ARENA	64	181	2963	Program		graph?	manual	Doc names it an arena type.
ENUM	53	136	541	Language		graph?	promoted	small closed set: 2 Java subtypes
ACCEPT	47	128	1328	AddressSetView		graph?	manual	read-only abstraction over where bytes/values come from, with lazy combinators that compose at runtime (union/intersection/difference/cached views) -- Rust's io::Read/Index shape; the implementations exist precisely to be substituted. Decided 2026-08-09.
STRUCT	45	66	204	Encoder		graph?	promoted	inheritance chain, not alternatives: PackedEncodeOverlay, PatchPackedEncode extend(s) PackedEncode. Java subclassing for reuse has no Rust translation -- port PackedEncode as a concrete type and let the others embed it
ARENA	40	109	1338	Function		graph?	manual	Doc names it an arena type; Phase 2 (fan-in 1338).
ENUM	32	183	2003	DataType		closed-hierarchy?	manual	Doc: closed hierarchy (Structure/Union/Enum/Array/Pointer/TypeDef/Dynamic) -> enum dispatch.
WAIT-PORT	26	210	489	Settings		graph?	derived	Java declares Settings as a class with no subtypes, so a concrete type is the right end state -- but Settings is still TODO in PORT_MANIFEST.tsv, so the trait is a seam awaiting that port, not a shape defect
STRUCT	26	80	328	Trace		graph?	promoted	one concrete Java implementer (DBTrace) -- an interface naming a single implementation, not a hierarchy; port it as that concrete type
WAIT-PORT	24	79	0	RegisterValue		graph?	derived	Java declares RegisterValue as a class with no subtypes, so a concrete type is the right end state -- but RegisterValue is still TODO in PORT_MANIFEST.tsv, so the trait is a seam awaiting that port, not a shape defect
STRUCT	24	61	0	TraceThread		graph?	promoted	one concrete Java implementer (DBTraceThread) -- an interface naming a single implementation, not a hierarchy; port it as that concrete type
ARENA	23	58	1053	Instruction		graph?	promoted	same domain concept with different storage backings (DBTraceInstruction, InstructionDB, PseudoInstruction). Per OWNERSHIP_MIGRATION.md convention 3, the backing is where the object was read from, not what it is: one type, resolved as a Copy ID against a snapshot
STRUCT	21	128	29	TokenPattern		graph?	promoted	Java declares TokenPattern as a class and nothing extends it -- there is no hierarchy to dispatch over, so a trait is the wrong shape (6 Rust impls notwithstanding)
TODO	21	64	36	PatternExpression	Ghidra/Framework/SoftwareModeling/src/main/java/ghidra/app/plugin/processors/sleigh/expression/PatternExpression.java	graph?	evidence	resolved to Ghidra/Framework/SoftwareModeling/src/main/java/ghidra/app/plugin/processors/sleigh/expression/PatternExpression.java: shape_rules R12-abstract-pure says trait -- needs a human (a trait's verdict depends on its implementer set, and a struct_trait split is a port task rather than a convention)
TODO	21	64	36	PatternExpression	Ghidra/Framework/SoftwareModeling/src/main/java/ghidra/pcodeCPort/slghpatexpress/PatternExpression.java	graph?	evidence	resolved to Ghidra/Framework/SoftwareModeling/src/main/java/ghidra/pcodeCPort/slghpatexpress/PatternExpression.java: shape_rules R11-abstract-stateful says struct_trait -- needs a human (a trait's verdict depends on its implementer set, and a struct_trait split is a port task rather than a convention)
ARENA	19	66	790	Symbol		graph?	manual	Doc names it an arena type.
STRUCT	19	38	162	Decoder		graph?	promoted	inheritance chain, not alternatives: PackedDecodeOverlay extend(s) PackedDecode. Java subclassing for reuse has no Rust translation -- port PackedDecode as a concrete type and let the others embed it
ARENA	18	58	370	Namespace		graph?	manual	core program-model object: has identity, is mutated over its lifetime, referenced from many places. Same family as the Program/Listing/DataTypeManager/Function/Data/Symbol arena types in OWNERSHIP_MIGRATION.md convention 1 -- CodeUnit is literally Data's parent. Decided 2026-08-09.
ITER	17	54	272	RecordIterator		graph?	family	[family:Iterator] Delete the custom trait; implement std::Iterator<Item=T>. Callers take the concrete type or `impl Iterator`; a genuinely heterogeneous collection (e.g. a merge over one iterator per search category) uses Box<dyn Iterator<Item=T>>, which is idiomatic Rust and already excluded from debt scoring -- the erased type is std::Iterator itself. `has_next` has no replacement method: use Peekable to look without consuming, or `while let Some(x) = it.next()`. Worked example: searchtext/iterators/search_address_iterator.rs + listing_display_search_address_iterator.rs.
TODO	15	33	101	PcodeArithmetic		graph?	evidence	11 Java subtypes -- too many for an enum; needs a human call (genuine open set -> ACCEPT, or graph type -> ARENA/GRAPH)
STRUCT	15	30	1071	AddressFactory		open-extension	promoted	inheritance chain, not alternatives: ProgramAddressFactory, TraceAddressFactory extend(s) DefaultAddressFactory. Java subclassing for reuse has no Rust translation -- port DefaultAddressFactory as a concrete type and let the others embed it
SUGGEST-STRUCT	14	68	0	VtAssociation		graph?	suggest	one concrete Java implementer (its single implementer) -- an interface naming a single implementation, not a hierarchy; port it as that concrete type
ACCEPT	14	43	0	PcodeUseropLibrary		graph?	manual	the caller, a plugin or a processor spec supplies the implementation (userop libraries, inject payloads, settings definitions, assembly solvers, trace-object mixins, task bodies, location kinds). Implementers spread across 2-4 top-level areas; `dyn` is the idiomatic Rust answer. Decided 2026-08-09.
ARENA	14	38	0	TracePlatform		graph?	promoted	same domain concept with different storage backings (DBTraceGuestPlatform, DBTraceHostPlatform). Per OWNERSHIP_MIGRATION.md convention 3, the backing is where the object was read from, not what it is: one type, resolved as a Copy ID against a snapshot
TODO	12	60	0	ErasedPcodeThread		graph?	evidence	no Java type named ErasedPcodeThread -- an abstraction the port invented, so Java says nothing about its shape
ACCEPT	12	55	370	DomainFile		graph?	promoted	DomainFileProxy wrap another implementation, so the wrapper genuinely has to hold something polymorphic -- `dyn` (or a generic parameter) is the right tool here, not an enum
STRUCT	12	39	0	VariableStorage		graph?	promoted	Java declares VariableStorage a class with one subclass (DynamicVariableStorage) -- inheritance for reuse, not polymorphism; port VariableStorage as a concrete type and let DynamicVariableStorage embed it
